country1,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Korea,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis and Futuna,Western Sahara,Yemen,Zambia,Zimbabwe
Afghanistan,0,Northwest,West,East,Northwest,Southwest,Northwest,South,Northwest,West,Northwest,Northwest,Southeast,Northwest,Northwest,Northwest,Southwest,East,Northwest,Northwest,Northwest,Northwest,West,Northwest,East,West,Northwest,Southwest,Southwest,West,South,Northwest,Southeast,Northwest,West,East,Southwest,Southeast,West,North,West,Northwest,West,West,West,East,Southeast,Southeast,Northwest,Southwest,East,Northwest,West,Northwest,Northwest,Northwest,West,Northwest,Southwest,Northwest,Southwest,Northwest,Northwest,Northwest,West,Northwest,West,Southwest,Northwest,Southwest,Southwest,Southwest,Northwest,East,Northwest,Northwest,West,East,South,West,West,West,Northwest,Northwest,West,Northwest,West,North,Northwest,Northwest,East,Northwest,Northwest,West,West,Northwest,Northwest,South,Northwest,East,Northwest,Northwest,Southeast,Southeast,West,West,Northwest,Northwest,West,Northwest,Northwest,Northeast,Northwest,West,North,Southwest,East,Northwest,West,Northeast,East,Northwest,West,Southwest,West,West,Northwest,Northwest,Northwest,East,Southwest,Southwest,Southeast,South,West,West,East,Northwest,West,South,Southwest,North,East,Northwest,Northwest,Northeast,Northwest,Northwest,West,Southwest,Southwest,East,East,Northwest,East,Southeast,Northwest,West,West,East,East,Northeast,Northwest,East,Northwest,Southwest,South,East,West,Northwest,East,West,Northwest,East,Northeast,Northwest,Northwest,Northwest,Southwest,Southwest,Northwest,Northeast,Southwest,South,Southwest,Northwest,Northwest,Northwest,Northwest,East,Northwest,West,West,West,Northwest,South,West,Southeast,Northwest,Northwest,East,Southwest,Southwest,Southwest,East,Northwest,Southeast,Southwest,Northwest,North,Northwest,Northwest,West,East,Northeast,Southwest,Southeast,Southeast,West,East,East,Northwest,West,West,Northwest,Northwest,East,Northwest,Southwest,Northwest,Southwest,Northwest,North,West,North,East,Northwest,Northwest,East,East,West,Southwest,Southwest,Southwest
Albania,East,0,Southwest,North,West,South,West,South,West,Southwest,East,West,East,Northwest,East,Northwest,East,East,West,North,Northwest,Northwest,Southwest,Northwest,East,West,Northwest,South,South,West,Southeast,West,East,Northeast,Southwest,East,South,East,South,Northwest,West,West,South,South,Southwest,Northeast,East,East,West,Southeast,North,West,Southwest,Northwest,West,West,Southeast,North,South,North,Southeast,West,West,West,Southeast,Northwest,South,Southeast,North,South,Southeast,Southwest,Northwest,Northeast,North,Northwest,West,Northwest,Southeast,South,Southwest,Southeast,East,Northwest,Southwest,West,Southeast,Northwest,West,West,Northeast,Northwest,Northwest,Southwest,Southwest,West,West,Southeast,West,East,North,Northwest,East,East,East,East,Northwest,Northwest,Southeast,West,West,Northeast,Northwest,Southeast,Northeast,Southeast,North,North,East,East,East,North,Southeast,South,Southwest,South,Northwest,North,Northwest,East,Southeast,South,East,Southeast,Southwest,Southwest,Northeast,West,Southwest,Southeast,Southeast,Northwest,Northeast,Northeast,West,Northeast,North,West,West,South,South,Northeast,East,Northwest,Northeast,East,West,Southwest,South,Northeast,East,Northeast,East,Northeast,North,East,East,East,Southeast,West,East,Southwest,West,East,West,North,West,West,East,South,Northeast,Northeast,South,Southeast,Southwest,West,West,Northwest,West,Northeast,Northwest,South,Southeast,Southwest,North,Southeast,Southwest,East,North,Northwest,Northeast,Southeast,South,Southwest,Northeast,West,East,South,West,North,North,Northwest,East,Northeast,East,South,East,East,Southwest,North,Northeast,West,Southwest,East,East,West,Northeast,West,South,Northeast,East,Northwest,Northwest,Southwest,East,Northeast,West,West,East,Northeast,West,Southeast,South,South
Algeria,Northeast,Northeast,0,Northwest,North,Southeast,West,South,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,North,West,South,West,Northeast,Southwest,Northeast,Southeast,South,Southwest,East,West,East,Northeast,South,East,Southeast,East,Southeast,Northwest,West,West,Southeast,Southeast,Southwest,Northeast,East,East,West,Southeast,West,West,South,Northeast,West,West,Northeast,North,Southeast,North,East,West,West,West,East,West,South,East,North,Southeast,East,Southwest,North,North,North,North,West,West,Southeast,South,Southwest,East,Northeast,North,South,Northwest,Northeast,North,West,West,Northeast,West,North,Southwest,Southwest,West,West,Southeast,West,Northeast,Northeast,North,East,East,East,East,North,North,East,Northeast,West,Northeast,North,East,Northeast,Southeast,North,Northeast,East,Northeast,Northeast,Northeast,East,Southeast,Southwest,East,North,Northeast,North,Northeast,Southeast,Southeast,East,East,Southwest,Northeast,North,West,Southwest,Southeast,Southeast,Northwest,Northeast,Northeast,North,Northeast,Northeast,West,Northwest,Southeast,South,Northeast,Northeast,North,Northeast,South,West,Southeast,South,Northwest,East,Northeast,Northeast,Northeast,North,East,East,Northeast,East,West,Northeast,Southwest,West,Northeast,West,Northeast,Northwest,West,East,Southeast,Northeast,Northeast,Southeast,Southeast,South,West,West,Northwest,West,Northwest,Northeast,South,East,Southwest,Northeast,Southeast,Southwest,East,Northeast,Northeast,Northeast,East,South,South,Northeast,North,East,Southeast,West,North,North,North,East,Northeast,Northeast,Southeast,East,East,South,North,Northwest,West,Northeast,Northeast,Northeast,West,North,West,Southeast,Northeast,East,North,Northwest,Southwest,Northeast,Northeast,Northeast,West,East,North,West,East,Southeast,Southeast
American Samoa,Northwest,North,Northeast,0,North,South,East,South,East,Southeast,Northwest,East,West,North,Northwest,Northeast,Northwest,West,East,North,North,East,Southeast,Northeast,Northwest,East,North,South,South,East,West,East,West,North,East,West,Southwest,West,South,Northeast,East,East,Southwest,West,Southeast,Northwest,West,West,East,Southwest,Southeast,East,East,North,East,East,Northwest,North,Southwest,North,West,East,East,East,Northwest,East,South,West,North,Southwest,West,Southeast,North,West,North,North,East,East,Southwest,South,East,Northwest,Northwest,North,Southeast,Northeast,North,North,East,East,Northwest,East,North,East,East,East,East,Southwest,East,Northwest,North,North,West,West,Northwest,Northwest,North,North,Northwest,North,East,Northwest,North,Northwest,Northwest,Southwest,North,North,Northwest,Northwest,West,North,Northwest,South,East,Northwest,North,North,North,Northwest,Southwest,Southwest,West,West,East,North,Northwest,East,East,Southwest,Southwest,Northeast,Northwest,North,North,Northwest,North,East,Northeast,Southwest,South,Northwest,Northwest,North,West,Southwest,East,Northeast,South,South,Southwest,Northwest,North,Northwest,North,West,Northwest,West,Northwest,East,West,Southeast,East,West,East,North,Northeast,East,Northwest,Southwest,North,Northwest,Southwest,Southwest,Southeast,East,East,Northeast,East,West,North,South,West,East,North,West,East,West,North,North,West,West,South,Southeast,Northwest,North,West,West,East,North,North,North,Northwest,Northwest,Northwest,Southwest,West,West,Southeast,North,Southwest,East,North,Northwest,Northwest,East,Northwest,East,Southwest,Northwest,West,North,Northeast,Southeast,Northwest,West,North,East,West,West,Northeast,West,Southwest,Southwest
Andorra,East,East,South,North,0,South,West,South,West,Southwest,East,West,East,Northeast,East,West,East,East,West,Northeast,North,West,South,West,East,Southwest,East,Southeast,South,Southwest,East,West,East,East,South,East,Southeast,East,South,Northwest,Southwest,West,Southeast,Southeast,Southwest,Northeast,East,East,West,Southeast,Northwest,West,South,East,West,West,East,Northeast,Southeast,North,Southeast,West,West,West,Southeast,West,South,Southeast,Northeast,Southeast,Southeast,Southwest,North,North,Northeast,North,Southwest,Northwest,Southeast,South,Southwest,East,East,Northeast,South,Southwest,East,North,West,West,Northeast,West,North,South,Southwest,West,West,Southeast,West,Northeast,Northeast,North,East,East,East,East,Northwest,North,East,East,West,Northeast,North,East,Northeast,Southeast,North,East,East,Northeast,East,Northeast,East,Southeast,South,Southeast,Northeast,Northeast,North,Northeast,Southeast,Southeast,East,East,South,Southeast,North,West,Southwest,Southeast,Southeast,Northwest,Northeast,Northeast,East,Northeast,East,West,Southwest,Southeast,South,North,East,North,Northeast,East,West,South,South,North,Northeast,Northeast,East,Northeast,North,East,East,Northeast,East,West,Northeast,Southwest,West,Northeast,West,Northeast,West,West,East,South,East,Northeast,Southeast,Southeast,South,West,West,Northwest,West,North,East,South,East,Southwest,East,Southeast,Southwest,East,Northeast,Northeast,Northeast,Southeast,South,South,Northeast,Southwest,East,Southeast,West,North,Northeast,Northeast,East,Northeast,East,Southeast,East,East,South,North,North,West,Southeast,East,East,West,North,West,Southeast,Northeast,East,North,Northwest,Southwest,East,Northeast,East,West,East,North,Southwest,East,Southeast,Southeast
Angola,Northeast,North,North,South,North,0,West,South,West,Southwest,Northeast,West,Southeast,North,Northeast,Northwest,Northeast,Northeast,West,North,North,West,Northwest,Northwest,Northeast,West,North,Southeast,South,West,East,West,East,North,Northwest,Northeast,Northeast,East,North,Northwest,Northwest,West,North,North,Southwest,Northeast,East,East,West,East,South,West,Northwest,North,West,West,North,North,Northeast,North,Northeast,West,West,West,North,West,Northwest,Northeast,North,Southeast,Northeast,Southwest,North,Southeast,North,North,West,Southwest,Southeast,Northwest,Northwest,North,North,North,Northwest,Northwest,North,North,West,West,East,West,North,Northwest,Northwest,West,West,Southeast,West,East,North,North,Northeast,East,Northeast,Northeast,North,North,North,North,West,Northeast,North,North,Northeast,Northeast,Southeast,North,Northeast,Northeast,East,North,North,Southeast,Northwest,North,North,North,North,East,East,East,East,East,Northwest,North,East,West,Northwest,East,East,West,East,North,North,Northeast,North,West,Northwest,Southeast,South,East,Northeast,North,Southeast,South,West,North,Northwest,South,Southeast,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,West,West,East,Southwest,North,Northwest,West,Northeast,North,North,Northeast,Northeast,East,Southwest,West,West,Northwest,West,South,North,Northwest,Northeast,Northwest,North,East,Northwest,East,North,North,Southeast,Northeast,South,Southwest,Northeast,North,East,Northeast,West,North,North,North,Northeast,East,Northeast,East,East,East,Northwest,Southeast,South,West,North,North,Northeast,West,Southeast,West,Northeast,North,Northeast,North,Northwest,Southwest,Northeast,Southeast,North,West,East,Southeast,Northwest,Northeast,East,Southeast
Anguilla,Northeast,Northeast,East,West,Northeast,East,0,South,Southeast,South,Northeast,Southwest,Southwest,Northeast,Northeast,Northwest,Northeast,Northeast,Southeast,Northeast,Northeast,West,East,North,Northeast,South,Northeast,East,Southeast,South,East,West,North,Northeast,East,Northeast,East,North,East,Northwest,East,West,East,East,South,North,Northeast,East,Southwest,East,West,West,East,Northeast,West,Southwest,Northeast,Northeast,East,Northeast,East,Southeast,West,Southwest,Northeast,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,Southeast,West,Southeast,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,South,Southeast,Northwest,West,Northeast,East,East,South,West,Southeast,West,North,Northeast,North,Northeast,North,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,West,North,Northeast,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,North,Northeast,Northeast,Southeast,East,Northeast,Northeast,Northeast,Northeast,North,East,East,Northeast,East,East,Northeast,West,Southeast,East,East,East,West,Northwest,Northeast,Northeast,North,Northeast,Southeast,Northeast,East,Southeast,West,Northeast,Northeast,West,Southwest,West,East,East,West,Southwest,North,Northeast,Northwest,Northeast,Northeast,Northeast,Northwest,Northeast,Southwest,West,South,Southwest,North,Southwest,Northeast,Northeast,West,Northeast,East,Northeast,North,East,East,Southeast,South,Southeast,North,South,West,Northeast,East,Northeast,East,Northeast,East,East,Northeast,Northeast,Northeast,West,East,Southeast,South,North,Northeast,Northeast,East,Southeast,North,Northeast,Northeast,Northeast,North,Northeast,East,Northeast,Northwest,East,West,West,South,Northeast,Northeast,Northeast,Northwest,West,West,East,Northeast,Northeast,Northeast,Northwest,South,Northeast,West,Northeast,South,North,West,East,East,East,East
Antarctica,Northeast,North,North,South,North,North,Northwest,0,Northwest,West,Northeast,West,Southeast,North,Northeast,West,Northeast,East,Northwest,North,North,West,North,Northwest,East,West,North,Northeast,North,Northwest,East,Northwest,Southeast,North,North,East,Northeast,East,North,West,Northwest,West,North,North,West,East,East,East,West,Northeast,South,West,North,North,West,Northwest,Northeast,North,Northeast,North,Northeast,Northwest,Northwest,West,Northeast,West,North,Northeast,North,Northeast,Northeast,West,North,South,North,North,Northwest,Southwest,East,North,North,Northeast,Northeast,North,North,North,North,Northwest,Northwest,Northwest,Southeast,West,North,North,North,Northwest,West,East,West,East,North,North,East,Southeast,Northeast,Northeast,North,North,Northeast,North,West,Southeast,North,Northeast,Northeast,Northeast,South,North,Northeast,Northeast,East,North,Northeast,Northeast,North,North,North,North,North,East,Northeast,Northeast,East,East,North,North,South,Northwest,North,Northeast,Northeast,West,Southeast,Northeast,North,East,North,Northwest,North,Northeast,North,South,East,North,South,South,West,North,North,South,South,Southeast,North,Southeast,North,Northeast,Northeast,Southeast,Northeast,West,Southeast,Northwest,West,Southeast,Southwest,North,North,Northwest,Northeast,North,North,East,Northeast,Northeast,North,Northwest,Northwest,Northwest,Northwest,South,North,North,Northeast,North,North,Northeast,North,East,North,North,South,Northeast,Northeast,Northwest,Southeast,North,East,Northeast,Northwest,North,North,North,Northeast,Southeast,Northeast,Northeast,East,Southeast,North,South,South,Northwest,North,Northeast,Northeast,Northwest,South,Northwest,Northeast,Northeast,Northeast,North,West,Northwest,Northeast,South,North,Northwest,East,South,North,Northeast,Northeast,Northeast
Antigua and Barbuda,Northeast,Northeast,Northeast,West,Northeast,East,Northwest,South,0,South,Northeast,Southwest,Southwest,Northeast,Northeast,Northwest,Northeast,Northeast,Southeast,Northeast,Northeast,West,East,North,Northeast,South,Northeast,East,Southeast,South,East,Northwest,North,Northeast,East,Northeast,East,Northeast,East,Northwest,East,West,East,East,South,North,Northeast,East,Southwest,East,West,West,East,Northeast,West,Southwest,Northeast,Northeast,East,Northeast,East,South,West,Southwest,Northeast,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,Southeast,West,Southeast,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,South,West,Northwest,West,Northeast,East,East,South,West,Southeast,West,North,Northeast,North,Northeast,North,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,West,North,Northeast,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,East,Northeast,Northeast,Northeast,Northeast,North,East,East,Northeast,East,East,Northeast,West,South,East,East,East,West,Northwest,Northeast,Northeast,North,Northeast,Southwest,Northeast,East,Southeast,West,Northeast,Northeast,West,Southwest,West,East,East,West,Southwest,North,Northeast,Northwest,Northeast,Northeast,Northeast,Northwest,Northeast,West,West,South,Southwest,North,Southwest,Northeast,Northeast,West,Northeast,East,Northeast,North,East,East,Southeast,West,South,North,South,West,Northeast,East,Northeast,East,Northeast,East,East,Northeast,Northeast,Northeast,West,East,Southeast,South,North,Northeast,Northeast,East,Southeast,North,Northeast,Northeast,Northeast,North,Northeast,East,Northeast,Northwest,East,West,West,South,Northeast,Northeast,Northeast,Northwest,West,Northwest,East,Northeast,Northeast,Northeast,Northwest,South,Northeast,West,Northeast,Southwest,North,West,East,East,East,East
Argentina,East,Northeast,Northeast,West,Northeast,East,North,South,North,0,Northeast,North,South,Northeast,Northeast,North,East,Southeast,North,Northeast,Northeast,Northwest,Northeast,North,East,North,Northeast,East,Southeast,Northeast,Southeast,North,South,Northeast,Northeast,Southeast,East,Southeast,East,Northwest,Northeast,North,East,East,West,East,South,Southeast,North,East,West,Northwest,Northeast,Northeast,North,North,Northeast,Northeast,East,Northeast,East,North,North,Northwest,East,Northwest,East,East,Northeast,Southeast,East,South,Northeast,Southwest,Northeast,Northeast,North,West,Southeast,East,Northeast,East,Northeast,Northeast,Northeast,Northeast,Northeast,North,North,North,Southwest,Northwest,Northeast,Northeast,Northeast,North,North,Southeast,Northwest,South,Northeast,North,East,South,East,East,Northeast,Northeast,East,Northeast,North,West,Northeast,East,Northeast,East,West,Northeast,East,East,Southeast,Northeast,Northeast,Southeast,Northeast,Northeast,Northeast,Northeast,Northeast,South,Southeast,East,Southeast,Southeast,Northeast,Northeast,West,North,Northeast,Southeast,East,Northwest,Southwest,Northeast,Northeast,Northeast,Northeast,North,Northeast,East,East,Southwest,East,Northeast,Southwest,Southwest,Northwest,Northeast,East,Southwest,Southwest,West,Northeast,Southwest,Northeast,East,East,Southwest,East,Northwest,Southwest,North,North,South,West,Northeast,Northeast,North,East,East,Northeast,North,East,Southeast,East,North,North,North,North,West,Northeast,East,East,Northeast,Northeast,Southeast,Northeast,South,Northeast,Northeast,Southwest,East,Southeast,Southeast,West,Northeast,Southeast,East,North,North,Northeast,Northeast,Northeast,South,East,East,Southeast,South,Northeast,West,Southwest,North,Northeast,Northeast,East,North,Southwest,North,East,Northeast,East,Northeast,Northwest,Northeast,East,Southwest,Northeast,North,South,Southwest,Northeast,East,East,East
